iter	RMSE
0	4.962519762
1	4.647025059
2	4.360188425
3	4.101229997
4	3.867516699
5	3.657024121
6	3.465069905
7	3.291676487
8	3.136778438
9	2.99996582
10	2.877972157
11	2.76804496
12	2.670703811
13	2.582406531
14	2.505955865
15	2.437072699
16	2.375479323
17	2.321231644
18	2.274299781
19	2.23304151
20	2.194996704
21	2.163610313
22	2.132485435
23	2.107245386
24	2.086134307
25	2.066517821
26	2.047084829
27	2.031654222
28	2.015980416
29	2.003497476
30	1.991646818
31	1.980682619
32	1.972443189
33	1.964108844
34	1.955505713
35	1.948983618
36	1.943380997
37	1.936773554
38	1.929351716
39	1.925019666
40	1.921295741
41	1.917874798
42	1.913504244
43	1.909185031
44	1.905018875
45	1.90134258
46	1.897927698
47	1.894850847
48	1.892718328
49	1.890541547
50	1.887831362
51	1.885707372
52	1.883371506
53	1.881428321
54	1.879662516
55	1.877166388
56	1.875280742
57	1.872925055
58	1.870961416
59	1.869571165
60	1.868024027
61	1.866432029
62	1.864664872
63	1.862855931
64	1.861640582
65	1.860302172
66	1.857446117
67	1.856028162
68	1.855350639
69	1.851710322
70	1.850585357
71	1.849005368
72	1.847703192
73	1.846601566
74	1.845842701
75	1.843834917
76	1.840720743
77	1.839878919
78	1.838100814
79	1.83710841
80	1.836298324
81	1.834673125
82	1.833906316
83	1.83285531
84	1.831789073
85	1.831203729
86	1.829033975
87	1.828177199
88	1.826973035
89	1.824463052
90	1.823750812
91	1.822909453
92	1.822058881
93	1.821270403
94	1.820444956
95	1.819909839
96	1.819416238
97	1.818751424
98	1.817375704
99	1.816670489
100	1.815935488
101	1.814790518
102	1.814053451
103	1.812447444
104	1.811270767
105	1.810319645
106	1.809610025
107	1.809080242
108	1.807766747
109	1.806974213
110	1.806340511
111	1.805641289
112	1.804456766
113	1.802760981
114	1.80215475
115	1.801198639
116	1.800631715
117	1.799747931
118	1.799200262
119	1.79868757
120	1.798278345
121	1.797744959
122	1.797023796
123	1.796468979
124	1.796030813
125	1.795577176
126	1.794916354
127	1.794195196
128	1.793390688
129	1.792873696
130	1.791470977
131	1.790714805
132	1.78907419
133	1.788571815
134	1.787983255
135	1.787149666
136	1.786376487
137	1.786093211
138	1.785550006
139	1.784787881
140	1.784050523
141	1.783379243
142	1.782858995
143	1.782161792
144	1.781500861
145	1.781102644
146	1.780457344
147	1.779814555
148	1.779212378
149	1.778872312
150	1.778230812
151	1.777848976
152	1.777206308
153	1.776228604
154	1.775244234
155	1.7747518
156	1.774448723
157	1.774021111
158	1.773830594
159	1.773492341
