iter	Passed	Remaining
0	272	163215
1	486	145324
2	696	138597
3	903	134650
4	1096	130447
5	1284	127124
6	1485	125801
7	1683	124587
8	1886	123884
9	2080	122721
10	2266	121351
11	2463	120731
12	2655	119895
13	2847	119170
14	3045	118779
15	3235	118092
16	3418	117237
17	3605	116563
18	3800	116211
19	3982	115488
20	4174	115109
21	4361	114591
22	4550	114162
23	4748	113974
24	4927	113331
25	5119	113014
26	5313	112772
27	5497	112301
28	5675	111745
29	5872	111575
30	6061	111267
31	6250	110938
32	6438	110629
33	6625	110296
34	6814	110012
35	7002	109698
36	7194	109470
37	7383	109190
38	7571	108912
39	7760	108650
40	7976	108747
41	8172	108581
42	8382	108584
43	8577	108385
44	8755	107990
45	8947	107753
46	9137	107510
47	9331	107310
48	9529	107156
49	9724	106971
50	9910	106683
51	10112	106565
52	10304	106350
53	10525	106426
54	10704	106073
55	10903	105921
56	11103	105770
57	11309	105686
58	11494	105395
59	11695	105257
60	11872	104908
61	12039	104471
62	12226	104212
63	12409	103932
64	12589	103617
65	12771	103331
66	12966	103155
67	13133	102749
68	13325	102550
69	13542	102533
70	13733	102323
71	13910	102008
72	14121	101942
73	14308	101708
74	14493	101455
75	14707	101406
76	14928	101395
77	15107	101101
78	15324	101064
79	15513	100840
80	15705	100634
81	15892	100397
82	16126	100448
83	16314	100219
84	16517	100073
85	16710	99874
86	16908	99701
87	17143	99744
88	17335	99534
89	17516	99260
90	17726	99153
91	17915	98922
92	18106	98707
93	18304	98530
94	18512	98409
95	18697	98164
96	18887	97941
97	19102	97854
98	19324	97795
99	19542	97714
100	19761	97634
101	19954	97427
102	20180	97375
103	20367	97138
104	20569	96968
105	20736	96640
106	20935	96457
107	21108	96158
108	21324	96056
109	21542	95963
110	21746	95801
111	21949	95635
112	22167	95533
113	22343	95254
114	22541	95066
115	22723	94810
116	22911	94582
117	23081	94282
118	23248	93970
119	23469	93878
120	23667	93693
121	23871	93529
122	24057	93296
123	24272	93174
124	24447	92900
125	24632	92665
126	24853	92563
127	25068	92439
128	25283	92314
129	25470	92087
130	25676	91924
131	25882	91766
132	26068	91533
133	26288	91421
134	26469	91173
135	26692	91067
136	26885	90860
137	27090	90693
138	27284	90489
139	27475	90277
140	27674	90089
141	27857	89850
142	28019	89544
143	28211	89335
144	28398	89111
145	28573	88851
146	28766	88648
147	28932	88362
148	29103	88091
149	29291	87873
150	29499	87718
151	29700	87536
