feature,importance
route_distance_m,0.7713438
haversine_distance_m,0.103349745
route_duration_s,0.060803067
dropoff_distance_to_jfk_m,0.004890851
dropoff_distance_to_lga_m,0.004081963
pickup_weekday_sin,0.0038178642
pickup_hour_cos,0.0038022287
dropoff_distance_to_exp_m,0.0037670569
pickup_distance_to_jfk_m,0.0036894665
End_Lon,0.0035096721
pickup_weekday_cos,0.0032511149
pickup_distance_to_lga_m,0.00322679
pickup_hour_sin,0.0031366406
dropoff_distance_to_nla_m,0.0030572487
pickup_distance_to_chp_m,0.002849995
dropoff_distance_to_chp_m,0.002805717
dropoff_distance_to_nyc_m,0.002578091
Start_Lat,0.002413498
End_Lat,0.0023538428
pickup_distance_to_exp_m,0.0018801214
Start_Lon,0.0018557122
average_speed_m_s,0.0017726416
ratio_haversine_osrm,0.0017085375
pickup_distance_to_nyc_m,0.0015867394
pickup_distance_to_nla_m,0.001341167
Passenger_Count,0.0011263754
