feature,importance
route_distance_m,0.48638895
route_duration_s,0.31682003
haversine_distance_m,0.1289132
dropoff_distance_to_jfk_m,0.0049933344
dropoff_distance_to_lga_m,0.004407282
pickup_hour_cos,0.004229736
pickup_weekday_sin,0.003787068
pickup_distance_to_jfk_m,0.003783491
dropoff_distance_to_nla_m,0.0036225307
End_Lon,0.0035717573
dropoff_distance_to_exp_m,0.0035157627
dropoff_distance_to_nyc_m,0.003299145
pickup_hour_sin,0.003275834
pickup_distance_to_lga_m,0.0032642807
pickup_distance_to_chp_m,0.0031873714
dropoff_distance_to_chp_m,0.003166516
End_Lat,0.0027812442
Start_Lat,0.0025967842
pickup_weekday_cos,0.0025283454
average_speed_m_s,0.0020657564
Start_Lon,0.0019099349
ratio_haversine_osrm,0.0018741372
pickup_distance_to_exp_m,0.0017440672
pickup_distance_to_nyc_m,0.0016845972
pickup_distance_to_nla_m,0.0014925752
Passenger_Count,0.001096195
