iter	RMSE
0	5.088651825
1	4.882044781
2	4.687375679
3	4.504165289
4	4.330774811
5	4.1683489
6	4.015125838
7	3.872136179
8	3.737014477
9	3.610436307
10	3.491692966
11	3.380111056
12	3.276319604
13	3.179065895
14	3.087757874
15	3.00185179
16	2.923757349
17	2.850614664
18	2.78123458
19	2.716577583
20	2.65692617
21	2.601631321
22	2.550265238
23	2.502878291
24	2.459093951
25	2.41726954
26	2.379787916
27	2.345011489
28	2.312373088
29	2.281724356
30	2.253937647
31	2.228185412
32	2.204522589
33	2.182576174
34	2.162671917
35	2.143130099
36	2.126271526
37	2.1094325
38	2.094749079
39	2.080993175
40	2.067613437
41	2.054832253
42	2.043750299
43	2.033284462
44	2.023412372
45	2.014115462
46	2.005554666
47	1.997745953
48	1.99052562
49	1.983311556
50	1.976334592
51	1.970441937
52	1.965028839
53	1.95996893
54	1.955328615
55	1.95114366
56	1.947084713
57	1.94302854
58	1.93940901
59	1.9362151
60	1.933117692
61	1.92833986
62	1.925009143
63	1.921782475
64	1.918754939
65	1.915044862
66	1.91271337
67	1.910237932
68	1.90767438
69	1.905057055
70	1.902917084
71	1.900848833
72	1.899073252
73	1.896586905
74	1.894368941
75	1.892607982
76	1.891313022
77	1.889283276
78	1.887757397
79	1.886296125
80	1.884286795
81	1.883030653
82	1.881675369
83	1.880033827
84	1.878703876
85	1.877275296
86	1.875710322
87	1.87351695
88	1.872263359
89	1.870986991
90	1.868615849
91	1.867677405
92	1.866023482
93	1.865226535
94	1.863957824
95	1.862041785
96	1.860117291
97	1.858901255
98	1.857765944
99	1.856749084
100	1.855873615
101	1.854974557
102	1.853811892
103	1.852668342
104	1.85197348
105	1.849474902
106	1.848686032
107	1.847783245
108	1.846571563
109	1.845728493
110	1.844943632
111	1.84410935
112	1.843534488
113	1.842895661
114	1.842131412
115	1.841633947
116	1.84068675
117	1.840128847
118	1.839449284
119	1.838446577
120	1.837370069
121	1.836954926
122	1.836319131
123	1.834982678
124	1.834013678
125	1.833517392
126	1.832817882
127	1.83131621
128	1.830827484
129	1.829228691
130	1.82836703
131	1.827794009
132	1.826509808
133	1.82533598
134	1.824899152
135	1.823838405
136	1.823338188
137	1.822601611
138	1.822248167
139	1.821014127
140	1.820680151
141	1.820201706
142	1.819059412
143	1.818731946
144	1.818197601
145	1.817245402
146	1.816876066
147	1.816106019
148	1.815447163
149	1.814526148
150	1.813885214
151	1.812915532
152	1.81227217
153	1.811383727
154	1.810804861
155	1.810193318
156	1.809852229
157	1.809315122
158	1.808958096
159	1.808225218
160	1.807790324
161	1.807261274
162	1.806808669
163	1.805987703
164	1.805484803
165	1.804943418
166	1.804540614
167	1.803937264
168	1.803497515
169	1.803215212
170	1.802470281
171	1.802069678
172	1.801509265
173	1.801225186
174	1.800804474
175	1.800208377
176	1.799633929
177	1.799377375
178	1.798844449
179	1.798273253
180	1.797946684
181	1.797243488
182	1.796871811
183	1.796291138
184	1.795846866
185	1.795292621
186	1.794774705
187	1.794253332
188	1.793881077
189	1.793408153
190	1.792792877
191	1.792376963
192	1.791613911
193	1.791280856
194	1.790924135
195	1.790304256
196	1.789820272
197	1.789363398
198	1.788959347
199	1.78813762
200	1.787890189
201	1.787586499
202	1.787062713
203	1.78678417
204	1.786266107
205	1.785894596
206	1.785599232
207	1.785248887
208	1.784775294
209	1.784326435
210	1.784095041
211	1.78369809
212	1.782846781
213	1.782632964
214	1.782220734
215	1.781779724
216	1.781445996
217	1.780992998
218	1.780556349
219	1.780332116
220	1.779976131
221	1.779554657
222	1.779188835
223	1.778470511
224	1.778209222
225	1.777793939
226	1.777344755
227	1.776929734
228	1.776548487
229	1.77615827
230	1.775950844
231	1.775611254
232	1.775265892
233	1.774855674
234	1.774515517
235	1.774160914
236	1.773890467
237	1.773733596
238	1.773540169
239	1.773277025
240	1.772932184
241	1.772532297
242	1.77235896
243	1.77208111
244	1.771725708
245	1.771516841
246	1.771146529
247	1.770785356
248	1.77043644
249	1.77024803
250	1.769876848
251	1.769497057
252	1.769326929
253	1.7691367
254	1.768816432
255	1.768501264
256	1.768309438
257	1.767939297
258	1.767698681
259	1.767470692
260	1.767192147
261	1.766833664
262	1.766384915
263	1.76604136
264	1.765756897
265	1.765504834
266	1.765251013
267	1.765005393
268	1.764806189
269	1.764502904
270	1.764180758
271	1.763709649
272	1.763335534
273	1.763028073
274	1.762597161
275	1.762237708
276	1.761979499
277	1.761518213
278	1.761357586
279	1.761084172
280	1.760952929
281	1.760752541
282	1.760396588
283	1.760099721
284	1.759845399
285	1.759644516
286	1.759504404
287	1.759213138
288	1.759012217
289	1.758743391
290	1.758615294
291	1.758407306
292	1.758189916
293	1.757988583
294	1.757711243
295	1.757224433
296	1.757021349
297	1.756754148
298	1.756602952
299	1.75637079
