iter	Passed	Remaining
0	1148	343296
1	1991	296681
2	2562	253651
3	3023	223738
4	3584	211466
5	4126	202184
6	4779	200044
7	5557	202848
8	6272	202795
9	6942	201324
10	7701	202336
11	8468	203243
12	9179	202664
13	9837	200969
14	10505	199607
15	11188	198597
16	11882	197806
17	12643	198086
18	13429	198608
19	14127	197785
20	14870	197561
21	15591	197016
22	16292	196219
23	16923	194623
24	17607	193678
25	18271	192549
26	18920	191311
27	19700	191375
28	20471	191306
29	21257	191316
30	21994	190858
31	22767	190681
32	23463	189840
33	24202	189348
34	24880	188379
35	25623	187904
36	26273	186757
37	26994	186119
38	27706	185423
39	28416	184709
40	29128	184008
41	29824	183205
42	30461	182058
43	31139	181178
44	31758	179966
45	32462	179251
46	33159	178494
47	33881	177879
48	34600	177236
49	35248	176240
50	36021	175870
51	36773	175380
52	37488	174710
53	38241	174211
54	38832	172979
55	39473	171991
56	40138	171116
57	40807	170264
58	41547	169710
59	42299	169198
60	42992	168445
61	43761	167988
62	44425	167126
63	45166	166549
64	45861	165805
65	46663	165443
66	47423	164922
67	48313	164834
68	49187	164672
69	50177	164868
70	51050	164655
71	51980	164604
72	52770	164093
73	53682	163948
74	54760	164281
75	55797	164456
76	56705	164225
77	57570	163854
78	58437	163476
79	59320	163130
80	60304	163045
81	61110	162464
82	62080	162305
83	63151	162390
84	64269	162563
85	65287	162459
86	65986	161552
87	66980	161361
88	68045	161320
89	68861	160677
90	69804	160319
91	70765	159991
92	71741	159682
93	72580	159058
94	73271	158111
95	74188	157649
96	75222	157424
97	76266	157201
98	77371	157087
99	78271	156542
100	79227	156100
101	80170	155625
102	81305	155507
103	82368	155232
104	83228	154566
105	84248	154190
106	85134	153559
107	86255	153342
108	87268	152919
109	87978	151963
110	88846	151279
111	89886	150880
112	90839	150326
113	91846	149854
114	92866	149394
115	93864	148888
116	94634	148018
117	95631	147498
118	96462	146719
119	97384	146076
120	98358	145506
121	99441	145086
122	100404	144484
123	101262	143727
124	102147	143007
125	103055	142314
126	104149	141872
127	105133	141273
128	106188	140760
129	107282	140292
130	108236	139633
131	109231	139022
132	110209	138382
133	111135	137675
134	112175	137103
135	113004	136270
136	113811	135410
137	114862	134838
138	115622	133922
139	116635	133298
140	117775	132811
141	118557	131915
142	119665	131380
143	120573	130620
144	121494	129873
145	122449	129159
146	123624	128669
147	124559	127925
148	125340	127022
149	126447	126447
150	127315	125629
151	128437	125058
152	129306	124235
153	130203	123439
154	131150	122689
155	132176	122009
156	133257	121374
157	134035	120462
158	135200	119894
159	136493	119431
160	137620	118815
161	138704	118155
162	139964	117638
163	141092	117003
164	142069	116238
165	143073	115492
166	144086	114751
167	145151	114047
168	145849	113054
169	146875	112316
170	147846	111533
171	148551	110550
172	149421	109691
173	150357	108879
174	151275	108053
175	152275	107285
176	153142	106420
177	153932	105504
178	154841	104669
179	155767	103845
180	156474	102875
181	157449	102082
182	158443	101299
183	159280	100415
184	160293	99641
185	161120	98751
186	161922	97846
187	162870	97029
188	163737	96163
189	164430	95196
190	165041	94186
191	165525	93108
192	166025	92045
193	166588	91022
194	167095	89974
195	167557	88908
196	168079	87879
197	168580	86844
198	169052	85800
199	169467	84733
200	170009	83736
201	170390	82664
202	170835	81630
203	171273	80599
204	171835	79631
205	172400	78668
206	172955	77704
207	173413	76702
208	173919	75725
209	174309	74704
210	174831	73744
211	175449	72828
212	176126	71939
213	176773	71039
214	177334	70109
215	177952	69203
216	178338	68212
217	178769	67243
218	179314	66321
219	179772	65371
220	180287	64446
221	180722	63497
222	181334	62613
223	181870	61706
224	182497	60832
225	183212	59989
226	183849	59123
227	184407	58233
228	184835	57307
229	185380	56420
230	185948	55543
231	186421	54640
232	186893	53742
233	187435	52866
234	188035	52009
235	188641	51157
236	189236	50303
237	189807	49445
238	190401	48596
239	190854	47713
240	191266	46824
241	191654	45933
242	192142	45070
243	192481	44176
244	192939	43312
245	193453	42465
246	194007	41629
247	194620	40807
248	195081	39956
249	195657	39131
250	196143	38290
251	196686	37464
252	197093	36614
253	197533	35773
254	198019	34944
255	198542	34124
256	199038	33302
257	199574	32488
258	199952	31652
259	200301	30815
260	200787	30002
261	201201	29181
262	201711	28377
263	202203	27573
264	202715	26773
265	203123	25963
266	203756	25183
267	204252	24388
268	204726	23592
269	205211	22801
270	205759	22018
271	206252	21231
272	206704	20443
273	207192	19660
274	207706	18882
275	208094	18095
276	208686	17327
277	209156	16551
278	209712	15784
279	210194	15013
280	210680	14245
281	211051	13471
282	211503	12705
283	211938	11940
284	212479	11183
285	212898	10421
286	213397	9666
287	213929	8913
288	214416	8161
289	214814	7407
290	215339	6659
291	215788	5912
292	216215	5165
293	216654	4421
294	217227	3681
295	217651	2941
296	218199	2204
297	218622	1467
298	219115	732
299	219527	0
